,Date,Temperature,Humidity,Wind Speed,Weather Condition
0,2026-03-04 12:00:00,28.18,70,5.19,Clear
1,2026-03-04 15:00:00,,71,2.37,Clear
2,2026-03-04 18:00:00,27.15,72,0.65,Clear
3,2026-03-04 21:00:00,25.06,81,2.44,Rain
4,2026-03-05 00:00:00,24.65,83,2.27,Clouds
5,2026-03-05 03:00:00,26.19,76,1.77,Clouds
6,2026-03-05 06:00:00,28.15,68,4.02,Clouds
7,2026-03-05 09:00:00,28.27,68,6.29,Clear
8,2026-03-05 12:00:00,28.02,71,5.42,Clear
9,2026-03-05 15:00:00,27.01,74,2.31,Clear
10,2026-03-05 18:00:00,26.52,79,1.8,Clear
11,2026-03-05 21:00:00,25.5,83,1.65,Rain
12,2026-03-06 00:00:00,24.3,89,2.3,Rain
13,2026-03-06 03:00:00,26.6,76,2.25,Rain
14,2026-03-06 06:00:00,28.49,70,3.68,Clouds
15,2026-03-06 09:00:00,28.86,70,5.67,Clouds
16,2026-03-06 12:00:00,28.24,71,5.79,Clear
17,2026-03-06 15:00:00,27.35,76,2.88,Clouds
18,2026-03-06 18:00:00,27.26,78,2.73,Rain
19,2026-03-06 21:00:00,26.33,82,2.92,Rain
20,2026-03-07 00:00:00,26.36,81,2.38,Rain
21,2026-03-07 03:00:00,26.62,81,2.63,Rain
22,2026-03-07 06:00:00,28.81,69,4.35,Clouds
23,2026-03-07 09:00:00,29.01,67,7.02,Clouds
24,2026-03-07 12:00:00,28.26,70,5.85,Clear
25,2026-03-07 15:00:00,27.43,73,3.24,Clouds
26,2026-03-07 18:00:00,26.95,76,2.34,Clouds
27,2026-03-07 21:00:00,26.55,78,2.26,Clouds
28,2026-03-08 00:00:00,25.89,80,2.26,Rain
29,2026-03-08 03:00:00,27.18,74,2.06,Clouds
30,2026-03-08 06:00:00,28.58,69,4.3,Clouds
31,2026-03-08 09:00:00,28.88,67,7.04,Clear
32,2026-03-08 12:00:00,28.34,70,5.58,Clear
33,2026-03-08 15:00:00,27.28,76,3.35,Clouds
34,2026-03-08 18:00:00,27.24,75,1.87,Clouds
35,2026-03-08 21:00:00,26.54,77,1.7,Rain
36,2026-03-09 00:00:00,26.65,75,0.5,Rain
37,2026-03-09 03:00:00,27.02,74,1.43,Clouds
38,2026-03-09 06:00:00,29.08,65,2.53,Clouds
39,2026-03-09 09:00:00,29.32,66,7.11,Clouds
0,2026-03-04 12:00:00,28.18,70,5.19,Clear
